x	y	z	x	y
1010665	6544885	2974	5058	1964
1010665	6544856	2998	4818	1755
1010673	6544771	3062	4303	1277
1010680	6544755	3053	4208	1287
1010645	6544687	3146	4021	769
1010727	6544755	3053	3852	1398
1010813	6544795	3015	3322	1705
1011011	6544798	2915	1492	2777
1010835	6544605	3066	2493	1475
1010855	6544592	3068	2305	1496
1010850	6544994	2856	4000	3267
1010817	6544935	2921	3970	2525
1010826	6544971	2882	4100	2942
1010885	6544930	2887	3306	2951
1010748	6545001	2873	5053	2980
1010726	6545055	2851	5659	3230
